Peaks,0%,0.10%,5%
C1s,80.2,69.3,68.6
C1s A,8.4,16.8,16.3
C1s B,7.7,9.3,9.6
C1s C,3.8,3.3,3.8
C1s D,0,1.3,1.6
N1s,88.8,92.7,93.1
N1s A,9.3,4.4,3.4
N1s B,1.9,3,3.6
O1s,74.2,64.9,64.6
O1s A,20.6,27.7,25.7
O1s B,2.7,2.1,3
O1s C,1.8,3.6,4.8
O1s D,0.7,1.7,1.9
